"CASP__CON"	"CASP__WD"	"CASP__WD.R"	"CASP__WL"	"CASP__WL.R"	"CMZ__CON"	"CMZ__WD"	"CMZ__WD.R"	"CMZ__PLATE"	"CMZ__WL"	"CMZ__WL.R"	"EXP__FIELD"	"HMA__FIELD"	"LSI1__CON"	"LSI1__WD"	"LSI1__WD.R"	"LSI1__FIELD"	"LSI1__WL"	"LSI1__WL.R"	"NRAMP__FIELD"	"QHB__CON"	"QHB__WD"	"QHB__FIELD"	"QHB__PLATE"	"RSS1__CON2"	"RSS1__CON"	"RSS1__WD"	"RSS1__WD.R"	"RSS1__FIELD"	"RSS1__PLATE"	"RSS1__SUB"	"RSS1__SUB.R"	"RSS1__WL"	"RSS1__WL.R"	"SCR__CON"	"SCR__WD"	"SCR__WD.R"	"SCR__PLATE"	"SCR__WL"	"SCR__WL.R"	"SHR__FIELD"	"SHR__PLATE"	"polyA__CON2"	"polyA__CON"	"polyA__WD"	"polyA__WD.R"	"polyA__FIELD"	"polyA__PLATE"	"polyA__SUB"	"polyA__SUB.R"	"polyA__WL"	"polyA__WL.R"	"X35S__CON2"	"X35S__CON"	"X35S__WD"	"X35S__WD.R"	"X35S__FIELD"	"X35S__PLATE"	"X35S__SUB"	"X35S__SUB.R"	"X35S__WL"	"X35S__WL.R"
"OS01G0246400"	8.163493473	4.578604673	3.841010512	3.764106248	3.943160033	0.567355831	8.186912113	1.684736746	29.41931435	2.480841184	3.475061856	2.19019572	1.150930101	4.378920591	22.70347217	1.318528856	8.650016404	6.775645358	5.849628363	2.778608555	3.205161498	5.056297317	0.984662469	13.51789798	5.179459034	3.262350562	5.383261899	1.501346662	1.095411373	45.94484079	14.09268783	2.047256814	7.873708065	6.214390348	0.673135081	6.410678866	1.90881695	28.149008	3.838916831	4.29226001	2.373757199	30.84608582	3.54060875	3.5355198	11.91970825	1.049151543	1.051047836	43.80848996	13.33342517	6.665773471	3.401765949	1.266502888	10.21371054	15.53965292	32.10442026	4.214251973	7.252433324	465.4725938	36.34598934	24.34427018	20.85373967	5.979143429
"OS01G0279100"	9.315371258	7.31935627	9.647772258	2.260339137	18.04987566	7.250974116	2.763833956	1.959857958	10.68389909	16.28881652	11.45442683	1.83067119	6.58312312	3.641129148	5.09291456	5.267355046	10.11019176	5.45574356	3.311798938	7.444279958	4.159386013	10.33437813	4.025450106	11.52499021	5.687695255	3.278480506	4.502951446	4.23816473	2.2505442	25.88784774	3.502160231	3.283831555	10.09483378	6.392537894	5.482283947	11.80001137	4.642502667	11.12104362	20.10180086	6.163071667	1.177169867	8.35060294	2.932335393	3.140660969	2.904182718	2.504697954	2.055042593	21.60142938	1.517037553	2.528586734	3.810217654	2.484749656	2.033312254	2.21014597	4.216599619	1.997578094	2.036223841	243.0108735	5.200294807	4.859977031	2.623443035	1.893786081
"OS01G0323100"	1.695805149	1.44332942	1.04241004	2.485904291	0.994345087	1.561681364	1.351120545	1.218102498	1.621407037	0.61899548	0.60086287	2.152558477	0.544162213	1.026679713	0.419774119	1.147570863	0.720552253	1.125422069	1.111706849	0.462797178	60.51775736	49.67155485	79.45063661	68.1781063	0.741133929	0.480063825	0.929527202	1.345307776	1.115893064	1.744622319	0.472455242	0.553382047	1.347435264	1.04262046	2.214876611	0.868411998	1.112103999	3.308989773	1.099189965	0.517606122	2.161765901	6.613996612	0.891603624	1.02421634	1.505330481	1.280733732	1.513900305	2.227444425	0.153034665	0.675356332	1.054478894	1.189557767	0.129305095	0.319412664	0.275490606	0.65028778	0.207932322	0.643100716	0.342771108	0.209090157	0.411348385	0.527671523
"OS01G0342500"	1.59961716	3.113064316	0.925313997	0.627095802	0.476274576	0.85053137	9.823263309	0.584814047	0.677398611	1.08803587	0.916946484	0.597317376	0.395779149	0.450884694	10.39387105	0.513560763	0.630720825	0.604321461	0.418341363	0.422328654	0.527516584	23.2511402	0.60863346	0.421493425	0.346475731	0.805312714	8.855131913	1.004662495	0.368172656	0.309525691	0.730796092	0.415075957	0.298922045	0.647426095	0.427293407	10.77871397	0.620950495	0.66901245	1.337918543	0.908512207	7.962232016	0.950371302	0.308161612	0.2811533	58.54835827	0.2417501	0.349303965	0.257492494	0.230832134	0.336146608	0.251544471	0.421995742	1.492307889	0.743966675	96.6006619	1.074650271	1.188472348	2.564449556	0.43867611	0.659895772	0.96074141	1.131419727
"OS01G0392600"	3.58415877	1.854848349	3.710589538	2.274513926	4.030042834	5.308191023	3.449179978	7.970085807	22.60919203	2.86921997	2.996270161	0.543555049	2.230416852	0.679139689	0.37452084	0.554421462	0.334728306	0.647135545	0.511056425	0.21564471	0.769256477	1.452942743	0.373812856	2.647215321	0.215423191	0.862596652	0.903423539	1.354753066	0.391018658	0.992881781	92.52070415	1.562677105	0.590064092	1.32693213	2.113878217	1.896261313	3.382895692	18.65166846	0.908700151	2.967331895	0.841069612	12.43360184	0.271946876	0.305516758	0.418300578	0.392783514	0.216269543	4.07968108	24.77410631	0.748191567	0.4574717	0.253015376	0.170736525	0.09875443	0.311023333	0.197647184	0.26278146	0.669010807	3.638453044	0.400353846	0.197126392	0.241094437
"OS01G0501800"	38.44852384	25.86011489	33.79320343	8.261470113	85.26621901	14.3917384	4.008389012	4.192802143	48.34697882	38.22492588	18.27058262	2.526327072	3.031750786	5.072732063	5.587803663	5.444191059	2.695241572	6.578815437	3.981385382	21.45680366	4.324715291	9.852476437	2.225105129	10.25054682	3.523759329	2.882239029	2.221370789	3.054992171	2.491054998	48.75499535	19.15920401	6.623226343	23.58683263	12.78376465	10.09117702	35.82657408	5.625475787	42.58647866	53.1326471	57.10963187	2.799193698	42.94633232	2.585314942	3.529741158	4.202133225	3.544060234	0.530388199	57.15704916	11.24708237	6.763273069	3.675864838	2.688289409	4.524136217	5.446851442	4.063899483	3.98801427	2.202777112	639.6274237	33.31644476	20.95006271	4.779045446	2.679587261
"OS01G0557100"	55.96392246	16.45886547	31.90201732	50.27318967	14.46903735	57.88148211	29.00586424	143.1411777	1158.303173	42.02386166	16.63390742	4.883252977	9.279056597	2.677094536	2.085143267	3.406066529	2.603593377	7.987083183	2.709875645	5.39628099	24.32339822	7.954618106	4.83080666	150.4500815	10.73630423	7.600732663	5.068999934	16.05888561	5.234752899	80.80064462	19.00698447	4.863173519	3.2561608	4.153276096	46.09951923	15.60428958	45.12591272	981.4565407	35.15487806	23.47818083	17.53594902	971.4714756	5.734388256	4.530481868	2.538127861	8.436338214	3.53239412	80.13989068	42.674732	3.618236099	7.484479683	3.177906696	10.83949925	14.52455757	5.684904424	16.03125162	4.431634595	54.55193946	67.30130734	12.30249243	20.30871947	10.31958942
"OS01G0558500"	17.14106363	18.49165512	27.39964294	10.10785338	10.7723369	14.89276674	20.44166658	25.99761691	707.7589575	8.890101046	16.1574583	17.72662243	7.809402398	15.35776159	14.08039741	14.99393292	19.3162814	16.56881744	14.17396763	14.27514085	8.382494154	15.75553882	8.612803814	83.70808079	8.886301756	10.23948729	17.83655764	15.84819676	10.03198444	49.52370746	22.07588445	18.34921938	7.735576377	11.76594314	10.15589257	18.91694997	28.26945972	543.1475084	8.46527213	14.45462023	10.18718952	871.7139602	5.074296686	4.992762518	9.476380664	6.175739207	7.097410743	5.824623801	5.112262339	4.328303942	4.989646478	5.379034706	8.86794043	10.34183045	12.32732377	11.54376953	11.29672796	16.82115041	8.813973502	7.508324366	10.59875599	9.876110452
"OS01G0600900"	224.7522193	77.34574798	199.2682217	24.65546459	230.3152984	77.90963526	9.14592274	14.7934878	37.88926568	253.4620974	62.82042538	13.36416989	2.989532188	17.66518116	11.34668088	13.06204865	9.5404662	21.4261661	16.94880674	73.32319834	17.57911621	34.06954491	27.30253417	19.88889527	11.59461804	7.073462639	6.908997958	8.465384404	3.489295739	99.47993712	37.37223585	12.79973543	89.7105541	14.77654684	49.44487672	126.8368136	25.38862059	35.79107571	279.4784241	258.0015257	18.02853386	45.66351144	8.423411414	11.30470228	9.770124771	10.00917986	1.987390856	116.6995782	13.30283803	9.959159833	11.03605144	9.558118056	13.0046219	11.20028	8.374057512	11.1346354	5.497673563	2185.372288	15.38534123	17.66100653	10.39048158	10.5460523
"OS01G0706800"	4.10451864	1.176992573	1.875399767	0.99810094	0.700087858	1.28602508	0.702435434	0.855310477	2.020762041	2.81519739	1.929277934	3.492363871	0.847645087	0.312881572	0.32299091	0.356374259	1.348101575	1.169434826	0.499367614	111.0902867	1.387302396	0.519774454	0.476982078	1.690019134	1.320143308	4.185688968	2.22464289	2.603104368	2.293633181	2.13162587	0.667655791	2.14048292	1.180699446	1.779567386	1.416800972	0.341206329	2.083613232	0.464246557	0.908796673	0.788793169	13.43789351	0.659489379	1.211460828	1.065707565	0.354258511	0.8592037	2.532053242	0.409550555	1.638306314	0.437717327	0.757332102	0.768279382	2.181986642	4.595314615	3.95507737	8.453749306	15.98536231	2.401782464	2.646471933	0.621402308	0.52121183	2.608719909
