RSS1__CON2,RSS1__SUB,RSS1__SUB+R,X35S__CON2,X35S__SUB,X35S__SUB+R,polyA__CON2,polyA__SUB,polyA__SUB+R
OS01G0105400,9.155683315,22.80292563,31.26417267,5.999351052,7.364158051,8.545428509,15.25988747,23.05475008,21.85066595
OS01G0105800,0.941834312,1.39090485,0.729261465,1.991987291,2.232243012,2.272952032,1.331599237,0.697045839,1.603371934
OS01G0105900,58.6931346,31.13951214,69.58801567,25.88093809,23.46486911,33.49071439,57.46918488,29.39849934,51.30311249
OS01G0106200,100.8409913,43.19457266,102.375969,68.08654155,53.87777724,85.69629613,93.00299837,45.7351837,80.01767484
OS01G0106300,8.489347006,0.378050414,1.653756034,0.710445387,0.263624612,0.257227374,7.973568634,0.103165199,0.423364836
OS01G0106400,74.47649102,10.54220551,16.19598624,26.18114379,2.395348118,21.3112198,58.43613393,1.850546644,19.14871655
OS01G0106500,27.6826934,13.07610442,35.70816898,17.66834808,18.51481183,23.88015464,27.10805083,17.29599882,41.27015474
OS01G0106600,3.783400178,1.61729776,2.756970622,6.859966384,0.240135505,2.666325915,3.388531317,0.614864988,2.463311277
OS01G0106700,3.093668563,6.81859082,5.85263273,2.824632373,2.429813903,2.510612356,4.691722109,4.614919659,4.436286461
OS01G0106800,67.13933466,32.45474633,67.03159242,61.63278117,53.09287506,71.52103257,124.5104843,86.15033284,105.6250723
OS01G0106900,37.04072655,9.39373871,15.20417404,31.94358094,41.67256102,26.72251589,23.82034131,14.47536634,9.934433875
OS01G0107000,23.91584105,24.8248928,13.90128827,16.94648696,18.34227692,15.10831847,11.21929874,12.56555306,10.81542129
OS01G0107400,29.01520977,11.99799747,20.12945195,5.390911638,10.77784443,8.145104193,13.65373993,14.62933137,14.44157602
OS01G0107700,1.202097302,0.927555648,1.25029922,1.519352226,1.043285816,1.684133822,1.227169276,0.766033679,1.410046092
OS01G0107750,1.15849546,1.101031864,1.309789517,1.637660221,1.238406483,1.800736485,1.304083446,0.754736962,1.484963799
OS01G0107900,9.975417874,29.11882619,7.549978618,14.79253174,23.58666001,12.96047006,10.36337012,17.09264325,7.370323977
OS01G0108000,15.65776176,15.75855814,12.70025696,16.75057763,19.15623579,17.87467711,11.01984922,14.21627695,10.56205653
OS01G0108200,17.29628286,22.76705569,13.4695638,10.84554222,17.46328546,15.08531724,11.47357717,12.63116768,11.46687696
OS01G0108600,79.15111739,36.72910874,25.5034882,103.9229457,31.71948213,66.77325581,57.69293711,32.17700769,50.73459306
OS01G0108800,12.39510174,1.449823522,6.009842068,0.949070002,0.293907165,0.620404347,6.63089192,0.354750118,2.849578504
OS01G0109000,3.066379417,27.61916268,19.52458338,3.038851546,2.99849841,2.475929048,5.002130677,17.11725843,5.599599366
OS01G0109201,5.597361678,7.399457624,3.538032401,8.540682524,6.990356587,5.158788692,5.216403947,4.627924002,3.38135357
OS01G0109300,5.807085609,7.676703125,3.670596653,8.860687844,7.252273745,5.352080015,5.411854019,4.771484391,3.508047324
OS01G0109432,0.888410071,1.232229172,0.796022085,2.107510228,9.503798341,2.517179094,0.440426404,4.93050754,0.940510831
OS01G0109700,49.40556062,75.44194474,65.73429164,54.24940649,54.85587298,45.24813502,41.7022729,42.24107215,38.81351263
OS01G0109750,4.068633365,6.565249731,4.233051919,6.726815893,10.44062849,4.421311601,5.640433213,8.439117378,4.421846733
OS01G0110050,0.204235179,3.205236021,1.871098952,0.347957211,2.012286112,0.904033912,0.304828172,3.2577779,0.895525251
OS01G0110100,0.29571819,3.470177613,2.65135848,1.3312514,4.959166611,1.1832867,0.705204124,4.177182143,1.014639261
OS01G0110200,82.66062451,3.052232141,45.94026569,125.9233085,3.038172225,36.01306889,176.5095964,2.90135216,65.21977568
OS01G0110400,38.97741608,100.4335791,22.00785147,34.62398176,83.25091896,27.3125389,23.65121151,63.45067238,18.05549479
OS01G0110500,24.85142575,15.91694282,22.57365329,13.73793398,6.930882629,12.07579006,13.82208437,6.614481035,13.15556914
OS01G0110600,29.37851319,18.00985541,26.98602308,16.10295534,8.243986628,14.91257611,15.72940874,8.319661152,15.13850395
OS01G0110800,1.765094323,1.34280777,1.000293786,1.047299006,0.578919605,0.388704517,0.569941816,0.635245223,0.438448287
OS01G0111100,0.17339268,3.851283858,0.83097592,0.56295889,6.83428814,0.785656023,0.354608588,2.614212277,0.695673792
OS01G0111200,39.19013026,32.07789996,45.71224171,24.40812202,32.21729354,34.63968079,30.14989531,26.69412338,27.98041482
OS01G0111300,1.879660575,1.236462242,4.963785754,3.818581656,1.440496189,3.316970626,5.893309936,0.988540082,2.325665253
OS01G0111400,2.491504268,6.414279761,1.828501181,3.004678747,4.694431576,2.753918514,1.806420892,3.605009414,1.264732092
OS01G0111500,3.072086923,0.623134163,0.281650275,0.092528614,0.120159468,0.094816241,1.998780446,0.1415049,0.119361084
OS01G0111700,4.247031925,2.584314741,1.881450104,3.015706233,5.586643885,2.552372671,1.554415517,3.938808637,1.542682301
OS01G0111800,25.88341295,12.42907632,17.75113898,12.92081761,11.79359658,19.53037858,25.7339127,19.17304912,22.58170509
OS01G0111900,205.7763389,45.59601606,142.7451998,106.8377053,33.80868974,80.68924593,127.7874355,41.70603982,79.64657475
OS01G0112000,21.18718594,7.675073625,11.15748145,1.342668677,0.857574803,2.079490725,7.581925025,6.369601201,1.895506164
OS01G0112100,3.872338923,1.540211498,5.094999119,2.292692202,2.460785826,3.866368115,2.349787869,1.437069022,3.173906979
OS01G0112201,10.46077261,4.969200226,12.6219585,6.78530945,7.082374367,11.12029524,6.750852369,3.88460109,8.981130598
OS01G0112300,8.494826246,13.82157297,11.87244904,8.838363362,11.41805155,10.18492764,8.034361457,10.6748747,7.956682545
OS01G0112400,0.19022197,0.464408989,1.145773892,0.486275467,0.256762973,0.180110012,0.262376732,0.469083696,0.132172984
OS01G0112500,5.781688021,24.96245078,9.05876614,10.02362146,12.22102168,8.564935833,6.234910359,14.37138931,5.472020618
OS01G0112600,24.7263744,25.37204486,6.108191486,14.11817092,35.74766009,15.17482037,21.13120364,41.67230182,20.16764776
OS01G0113000,0.574452793,0.637801662,0.958639786,0.121327532,0.166417857,0.129642538,0.49647953,0.700599348,0.497433278
OS01G0113200,6.750562797,49.36237541,10.19290979,9.086790901,55.7269538,14.54656402,7.622030258,51.06456496,14.34766275
OS01G0113300,5.001141907,35.92799163,3.272699542,3.999685857,29.75365831,4.791947021,3.606453231,32.77159101,5.569071204
OS01G0113325,5.113727165,36.13226597,3.428154031,4.007886977,30.29236952,4.724121389,3.765722519,33.22656103,5.645938283
