CMZ__PLATE,QHB__PLATE,RSS1__PLATE,SCR__PLATE,SHR__PLATE,X35S__PLATE,polyA__PLATE
OS01G0107000,15.35209786,25.26050188,22.80241219,18.34024267,19.0536957,30.86474853,13.35017855
OS01G0107400,29.61226719,33.04554377,21.7487421,32.12569116,35.18568754,5.258921719,13.36478521
OS01G0107700,1.149889655,3.31617774,1.108168631,1.517725853,1.949757917,0.350520078,0.913062176
OS01G0107750,1.364947919,3.688819023,0.983117142,1.80157873,1.434865985,0.416076141,0.906344914
OS01G0107900,26.7508656,23.72912408,22.24408694,21.00629825,23.50736675,31.61136071,22.89308414
OS01G0108000,17.74077147,58.24691155,14.33002648,17.785297,16.42880432,19.67466678,12.73519356
OS01G0108200,17.00290541,33.3030897,27.55922226,19.0220328,22.33450337,26.75133728,20.55359907
OS01G0108600,2.556541067,5.059275224,4.951994883,3.193687841,3.585675837,6.811786514,3.727508511
OS01G0108800,17.37122453,11.38023087,9.09501815,15.82743308,24.96888361,2.554104083,5.773111448
OS01G0109000,7.717739277,1.806346069,0.506231003,7.910864231,5.790014508,0.586922513,3.762734488
OS01G0109201,7.033778215,7.35769869,7.489800739,9.973879944,14.9220972,11.54520078,5.245347684
OS01G0109300,7.29732231,7.633379553,7.770431247,10.34758481,15.48120363,11.97778045,5.438173344
OS01G0109432,0.656303152,0.770171448,0.485445803,2.460250903,2.586513174,1.143497535,0.323649612
OS01G0109700,107.6792561,67.9133743,68.46309345,91.99584942,96.4559626,59.92656381,67.61179314
OS01G0109750,5.359291259,3.907230213,5.841524825,6.373945289,7.26406576,7.631204241,7.778437597
OS01G0110050,1.88543704,3.525115847,1.478095123,4.120281876,3.134192984,2.352264203,2.460700697
OS01G0110100,5.869844742,6.423540715,4.089604861,10.47823162,7.253769112,5.551884487,5.333491135
OS01G0110200,29.00116174,556.3031722,50.57015131,31.53133593,25.1849134,29.88738251,53.66729832
OS01G0110400,68.45415508,41.40626315,90.51990836,86.07175485,75.90794805,94.68641534,86.14735522
OS01G0110500,12.34593907,14.21476725,10.82700537,9.939105421,11.52200903,4.574227995,6.796181302
OS01G0110600,14.11936632,16.8391481,12.51748565,12.02187342,13.43891608,5.33721707,7.542368742
OS01G0110800,1.027467101,1.264529566,0.966211837,0.65179787,0.451260346,1.302443267,0.269912849
OS01G0111100,1.023059636,1.043266161,2.565641587,2.470967317,1.161375458,13.68558764,2.337549096
OS01G0111200,38.49460626,41.33674661,32.39557975,37.2637464,40.16423638,23.74371511,30.25243169
OS01G0111300,13.46455896,6.713150167,4.694220179,6.88870684,20.18000757,2.660308213,8.29637474
OS01G0111400,4.019687464,3.622065451,2.909195086,4.06727337,2.055163048,2.31059871,2.150257109
OS01G0111500,8.725491295,2.687272757,9.912124226,10.7290869,12.94785117,0.683484609,5.739390189
OS01G0111700,1.211432521,0.986466564,2.404835175,0.396451822,2.990374453,18.73521504,2.472114447
OS01G0111800,10.57035931,9.654431146,15.96951452,9.852024471,9.667754668,14.78721941,22.12364699
OS01G0111900,32.02812275,79.40233256,133.2709554,37.35561942,43.95212855,84.60945227,89.54035704
OS01G0112000,10.22127622,23.90597483,11.88926003,2.201267255,1.353088919,3.71731346,4.141630331
OS01G0112100,1.793642255,5.144385515,3.594867092,3.057225875,1.978057641,2.1833451,2.325423163
OS01G0112201,4.01508682,13.54993124,9.479003935,7.026653693,6.184635287,5.744634494,6.035032945
OS01G0112300,17.82974828,15.22494273,12.60917957,14.95697505,14.75625219,9.395513445,11.44389154
OS01G0112400,1.736283931,1.195829028,0.404376601,2.710796498,0.864915662,0.60690707,0.330042794
OS01G0112500,72.69221876,32.02101145,31.30800369,100.0387667,75.30368893,44.4556204,39.38022879
OS01G0112600,1.529498807,0.617940254,0.458228732,0.652695073,1.989987751,0.413045945,0.383947359
OS01G0113000,2.745377985,0.82495352,0.42922054,1.856982934,2.166910475,0.191786201,0.874973766
OS01G0113200,1.816908872,2.668377078,3.087603782,2.047279667,3.876981606,5.168392096,1.8129997
OS01G0113300,2.069550796,1.913483537,2.662790037,3.394749751,7.279974251,3.478560444,1.368456906
OS01G0113325,1.895639158,1.990146231,2.477992579,3.653505845,7.554666613,3.592000639,1.454746018
OS01G0113350,0.760345487,0.247406152,0.739584429,0.817618459,0.24136414,1.441674106,0.373164149
OS01G0113400,7.447357432,1.975762926,2.144472313,4.640681973,3.912757209,1.53305081,2.852448636
OS01G0113450,7.659339886,2.221939675,2.457274902,4.831446355,2.761076568,1.877278287,2.951287771
OS01G0113500,1.103134872,0.417304992,0.529562132,0.7861759,0.209365826,1.081511387,0.435530498
OS01G0113600,3.503140931,2.438379879,1.666302524,3.484899879,6.523251651,2.096499842,2.234415311
OS01G0113650,3.027941073,2.572347428,1.92843981,2.59092538,6.011725747,3.034209534,1.5378773
OS01G0113700,20.22561758,7.873098274,22.91075728,23.2160583,22.8085633,44.9389225,15.95176577
OS01G0113800,4.267341842,0.975077266,4.329969519,3.054299243,2.084825454,8.777765267,2.496205983
OS01G0114100,34.31056091,8.333939274,23.41818199,33.6327675,37.3654232,31.6226351,27.16391151
OS01G0114200,3.427443343,2.054467612,1.349421374,2.882912904,3.246482566,3.932474113,1.320564295
OS01G0114300,3.650492599,1.301634737,3.978186234,3.621370515,3.583841585,9.0105159,3.499891399
OS01G0115200,23.84144123,7.453855046,3.06399815,40.06682349,9.038976387,5.13469187,4.880234887
OS01G0115300,10.70940631,3.371889271,1.327179641,13.95967543,4.203537129,1.835837196,3.042630633
OS01G0115800,6.488129207,3.085293309,3.497933386,9.414480802,7.852852924,6.757805689,4.495234065
OS01G0115900,1.131069076,1.028825091,2.149395552,2.108943023,1.255364376,10.50900706,1.522532195
OS01G0115950,6.460199028,1.981015044,3.786320774,8.042669925,7.360603716,6.894352612,4.654296163
OS01G0116300,1.750688364,0.758920456,0.292800038,0.398773151,1.113373929,0.080161254,0.484944388
OS01G0116600,24.49023579,21.56677781,17.63121839,29.73773372,26.97213877,14.09285761,20.41677764
OS01G0116900,0.732562252,0.205134991,1.123218678,1.778776115,0.737889515,5.088347545,0.554644286
OS01G0117100,3.944597037,0.512229044,0.153076154,2.691685547,0.601372853,0.410501303,0.637824051
OS01G0117450,0.421070655,0.283821749,0.133375538,1.047363647,0.715711758,0.828117037,0.167121542
OS01G0117600,1.255382906,0.65692705,0.477288553,1.208747563,0.8098491,2.325912634,0.292710139
OS01G0117650,1.169733938,0.673705563,0.381495,1.093478327,0.626303199,2.523348028,0.251389556
OS01G0117900,0.964048167,0.354609868,0.192001149,0.812767451,0.992853637,0.267178812,0.605129804
OS01G0118000,59.5604412,151.183803,160.7452821,51.74699864,65.75811429,120.7366552,125.5720115
OS01G0118100,31.38338278,31.65935153,25.52839365,30.89506836,27.09723467,20.14695238,19.82268586
OS01G0118300,9.700897659,2.543514557,6.042327753,10.19724308,18.47069414,1.055712047,6.192098006
OS01G0118400,219.4465487,35.01969118,104.915338,207.5828921,273.7001793,42.3076998,67.18900128
OS01G0118600,34.73091675,6.761009921,10.09513352,20.95971332,23.06908018,4.299161596,7.304507431
OS01G0118700,175.1421072,30.31965029,68.4000933,138.6107885,175.8897041,48.18710443,51.8846465
OS01G0119000,71.14527608,28.80033566,46.86465603,72.31087341,77.8453744,8.634524532,35.10214705
OS01G0119100,72.19038466,17.70839406,48.17273816,74.00660284,104.922982,23.21779486,27.44017003
OS01G0119500,7.645428002,17.09184974,16.35484122,10.91435977,4.92181095,19.19074161,7.880654197
OS01G0120300,11.21922479,5.682958536,3.140575791,11.45561486,7.649050555,11.05604382,4.850705238
OS01G0120400,31.06385754,29.12467069,29.30174367,22.62114366,19.22406652,43.84488423,26.58771839
OS01G0120500,3.347322103,6.943684968,6.203314056,4.303048023,4.13112816,27.50300196,3.911372532
OS01G0120600,8.789856407,7.063448379,8.506062224,10.72405316,11.82470458,7.530647206,7.021927507
OS01G0120700,53.61910571,26.84834616,16.26878125,76.49246356,48.39086564,9.698890508,28.59759756
OS01G0120800,113.405541,96.51740606,81.25057022,108.2869282,110.5109538,48.40002808,93.41026738
OS01G0121000,7.381142484,1.752783797,7.051853484,1.727107401,8.183626067,2.077766573,1.774005668
OS01G0121100,42.01874609,30.61795153,28.93953608,41.12483423,35.4143475,24.68696829,27.63353111
OS01G0121200,29.67243241,21.58562602,21.06903326,35.77896192,25.27511295,12.7325039,19.51401
OS01G0121300,13.49295782,17.135651,9.718591158,13.70473538,20.32263628,10.85119698,15.08264348
OS01G0121400,15.61621515,19.36642681,10.6700071,14.44955055,22.87266044,11.93623829,16.37057256
OS01G0121500,2.29996751,4.168681165,22.45381092,5.978133192,6.854539238,29.22832537,9.560759818
OS01G0121600,47.73712607,11.82506179,43.79866389,39.43001983,32.28209345,61.48595028,23.2345444
